STADIUM_ID,STADIUM,CTYUA19NM,CLUB,BANNING_ORDERS_19,BANNING_ORDERS_22,LONGITUDE,LATITUDE
S01,The Emirates ,Islington,Arsenal FC,25,13,-0.108480763,51.55496097
S02,Villa Park,Birmingham,Aston Villa FC,45,24,-1.884825718,52.50908555
S03,Vitality Stadium,"Bournemouth, Christchurch and Poole",Bournemouth AFC,4,3,-1.838279527,50.73523161
S04,Gtech Community Stadium,Hounslow,Brentford FC,6,5,-0.288867696,51.49070546
S05,American Express Stadium,Brighton and Hove,Bright And Hove Albion FC,14,9,-0.083594978,50.86152888
S06,Turf Morr,Lancashire,Burnley FC,38,30,-2.230169303,53.78893473
S07,Stamford Bridge,Hammersmith and Fulham,Chelsea FC ,32,24,-0.190869161,51.48157621
S08,Selhurst Park,Croydon,Crystal Palace FC,9,6,-0.085363217,51.39835408
S09,Goodison Park,Liverpool,Everton FC,31,36,-2.966318362,53.43880235
S10,Craven Cottage,Hammersmith and Fulham,Fulham FC,10,6,-0.221616615,51.47489815
S11,Anfield,Liverpool,Liverpool FC,27,38,-2.960828132,53.43081151
S12,Kenilworth Road,Luton,Luton Town FC,18,15,-0.431655961,51.88419407
S13,The Etihad,Manchester,Manchester City FC,12,35,-2.200416518,53.48310591
S14,Old Trafford,Trafford,Manchester United FC,35,24,-2.291132923,53.4631139
S15,St James Park,Newcastle Upon Tyne,Newcastle United FC,71,21,-1.621553301,54.97551323
S16,The City Ground,Nottingham,Nottingham Forest FC,22,13,-1.132755373,52.93988139
S17,Bramall Lane,Sheffield,Sheffield United FC,54,13,-1.470962314,53.37039558
S18,Tottenham Hotspur Stadium,Haringey,Tottenham Hotspur FC,12,12,-0.066226822,51.60411821
S19,London Stadium,Newham,West Ham United FC,54,34,-0.016488565,51.53863892
S20,Molineux,Wolverhampton,Wolverhampton Wanderers FC,50,23,-2.130407345,52.59016448
